category,field,fit_id,id_status,notes
Popular,Distance,6,Verified on device,
Popular,Timer,56,Verified on device,
Popular,Elapsed Time,55,Verified on device,
Popular,Lap Time,58,Verified on device,
Popular,Speed,48,Verified on device,
Popular,Avg Speed,49,Verified on device,
Popular,Elevation,9,Verified on device,
Popular,Grade,11,Verified on device,
Popular,Total Ascent,60,Verified on device,
Popular,Time of Day,59,Verified on device,
Popular,Cadence,3,Verified on device,
Popular,Avg Cadence,4,Verified on device,
Popular,Lap Cadence,5,Verified on device,
Popular,Heart Rate,13,Verified on device,
Popular,Avg Heart Rate,14,Verified on device,
Popular,Lap Heart Rate,15,Verified on device,
Popular,%Max Heart Rate,16,Verified on device,
Popular,Power,36,Not verified yet,
Popular,Avg Power,37,Not verified yet,
Popular,3s Power,79,Not verified yet,
Popular,10s Power,146,Not verified yet,
Popular,Lap Power,39,Not verified yet,
Popular,Normalized Power,81,Not verified yet,
Speed,Speed,48,Verified on device,
Speed,Avg Speed,49,Verified on device,
Speed,Lap Speed,50,Verified on device,
Speed,Last Lap Speed,86,Verified on device,
Speed,Max Speed,91,Verified on device,
Distance,Distance,6,Verified on device,
Distance,Lap Distance,7,Verified on device,
Distance,Last Lap Distance,84,Verified on device,
Distance,Distance Ahead,62,Verified on device,
Distance,Odometer,95,Verified on device,
Timer,Timer,56,Verified on device,
Timer,Elapsed Time,55,Verified on device,
Timer,Lap Time,58,Verified on device,
Timer,Avg Lap Time,57,Verified on device,
Timer,Last Lap Time,87,Verified on device,
Timer,Time Ahead,63,Verified on device,
Elevation,Elevation,9,Verified on device,
Elevation,Grade,11,Verified on device,
Elevation,Total Ascent,60,Verified on device,
Elevation,Total Descent,61,Verified on device,
Elevation,VAM,77,Verified on device,
Elevation,30s VAM,88,Verified on device,
Elevation,Avg VAM,443,Verified on device,
Elevation,Lap VAM,442,Verified on device,
Elevation,Ascent Remaining,444,Verified on device,
Elevation,Ascent to Next Course Point,445,Verified on device,
Navigation,Distance to Destination,27,Verified on device,
Navigation,Time to Destination,28,Verified on device,
Navigation,ETA at Destination,93,Verified on device,
Navigation,Destination Location,31,Verified on device,
Navigation,Distance to Next,29,Verified on device,
Navigation,Time to Next,30,Verified on device,
Navigation,ETA at Next,94,Verified on device,
Navigation,Next Point Location,32,Verified on device,
Navigation,Ascent Remaining,444,Verified on device,
Navigation,Ascent to Next Course Point,445,Verified on device,
Navigation,Course Point Distance,2,Verified on device,
Navigation,Heading,12,Verified on device,
MTB Performance,Grit,486,Verified on device,
MTB Performance,Lap Grit,487,Verified on device,
MTB Performance,60s Grit,495,Verified on device,
MTB Performance,Flow,488,Verified on device,
MTB Performance,Lap Flow,489,Verified on device,
MTB Performance,60s Flow,497,Verified on device,
Graphical,Speed,48,Verified on device,
Graphical,Speed Bars,348,Verified on device,User reports numeric display in the 10-field layout; no bars rendered.
Graphical,Speed Graph,344,Verified on device,User reports numeric display in the 10-field layout; no graph rendered.
Graphical,Elevation Graph,368,Verified on device,User reports numeric display in the 10-field layout; no graph rendered.
Graphical,Cadence,3,Verified on device,
Graphical,Cadence Bars,349,Verified on device,User reports numeric display in the 10-field layout; no bars rendered.
Graphical,Cadence Graph,345,Verified on device,User reports numeric display in the 10-field layout; no graph rendered.
Graphical,Heart Rate,13,Verified on device,
Graphical,Heart Rate Bars,347,Verified on device,User reports numeric display in the 10-field layout; no bars rendered.
Graphical,Heart Rate Graph,343,Verified on device,User reports numeric display in the 10-field layout; no graph rendered.
Graphical,Power,36,Not verified yet,
Graphical,Power Bars,350,Not verified yet,
Graphical,Power Graph,346,Not verified yet,
Other,Laps,24,Verified on device,
Other,Battery Level,96,Verified on device,
Other,Calories,0,Verified on device,
Other,GPS Signal Strength,97,Verified on device,
Other,Time of Day,59,Verified on device,
Other,Performance Condition,320,Verified on device,
Other,Sunrise,53,Verified on device,
Other,Sunset,54,Verified on device,
Other,Temperature,78,Verified on device,
